Entity,Code,cases
Afghanistan,AFG,2724565
Albania,ALB,63238
Algeria,DZA,2191370
American Samoa,ASM,1989
Andorra,AND,2831
Angola,AGO,355465
Antigua and Barbuda,ATG,2681
Argentina,ARG,1485415
Armenia,ARM,57700
Australia,AUS,1807528
Austria,AUT,293977
Azerbaijan,AZE,161629
Bahamas,BHS,10610
Bahrain,BHR,68721
Bangladesh,BGD,2864478
Barbados,BRB,9225
Belarus,BLR,300336
Belgium,BEL,351015
Belize,BLZ,9870
Benin,BEN,157963
Bermuda,BMU,2268
Bhutan,BTN,13922
Bolivia,BOL,340512
Bosnia and Herzegovina,BIH,63467
Botswana,BWA,55468
Brazil,BRA,7604028
Brunei,BRN,13449
Bulgaria,BGR,203707
Burkina Faso,BFA,256225
Burundi,BDI,151814
Cambodia,KHM,298677
Cameroon,CMR,420457
Canada,CAN,2968194
Cape Verde,CPV,11468
Central African Republic,CAF,86517
Chad,TCD,181282
Chile,CHL,742355
China,CHN,56197450
Colombia,COL,1871374
Comoros,COM,13375
Congo,COG,85773
Costa Rica,CRI,132350
Cote d'Ivoire,CIV,378414
Croatia,HRV,135031
Cuba,CUB,341237
Cyprus,CYP,23884
Czechia,CZE,373641
Democratic Republic of Congo,COD,1223287
Denmark,DNK,187216
Djibouti,DJI,17262
Dominica,DMA,2470
Dominican Republic,DOM,237681
Ecuador,ECU,360967
Egypt,EGY,4165673
El Salvador,SLV,142900
Equatorial Guinea,GNQ,14037
Eritrea,ERI,99959
Estonia,EST,58399
Eswatini,SWZ,35864
Ethiopia,ETH,1507812
Fiji,FJI,25077
Finland,FIN,184434
France,FRA,2880004
Gabon,GAB,33513
Gambia,GMB,30691
Georgia,GEO,81202
Germany,DEU,2867214
Ghana,GHA,533441
Greece,GRC,229352
Greenland,GRL,4235
Grenada,GRD,3192
Guam,GUM,5495
Guatemala,GTM,371331
Guinea,GIN,165295
Guinea-Bissau,GNB,26643
Guyana,GUY,21308
Haiti,HTI,235438
Honduras,HND,196277
Hungary,HUN,278139
Iceland,ISL,8522
India,IND,23656977
Indonesia,IDN,5194183
Iran,IRN,5771711
Iraq,IRQ,2054408
Ireland,IRL,182603
Israel,ISR,191845
Italy,ITA,3271385
Jamaica,JAM,101397
Japan,JPN,4387687
Jordan,JOR,342360
Kazakhstan,KAZ,401882
Kenya,KEN,712972
Kiribati,KIR,2690
Kuwait,KWT,151663
Kyrgyzstan,KGZ,110637
Laos,LAO,157406
Latvia,LVA,90308
Lebanon,LBN,324734
Lesotho,LSO,62729
Liberia,LBR,71906
Libya,LBY,562570
Lithuania,LTU,77377
Luxembourg,LUX,18875
Madagascar,MDG,375302
Malawi,MWI,276019
Malaysia,MYS,702354
Maldives,MDV,7734
Mali,MLI,242056
Malta,MLT,13981
Marshall Islands,MHL,1639
Mauritania,MRT,62178
Mauritius,MUS,34892
Mexico,MEX,3443105
Moldova,MDA,92489
Mongolia,MNG,53671
Montenegro,MNE,15978
Morocco,MAR,1878440
Mozambique,MOZ,445517
Myanmar,MMR,1069186
Namibia,NAM,65332
Nepal,NPL,557019
Netherlands,NLD,615957
New Zealand,NZL,352405
Nicaragua,NIC,129264
Niger,NER,251204
Nigeria,NGA,2657702
North Korea,PRK,838955
North Macedonia,MKD,38787
Northern Mariana Islands,MNP,1982
Norway,NOR,179179
Oman,OMN,156057
Pakistan,PAK,4420530
Panama,PAN,94975
Papua New Guinea,PNG,184475
Paraguay,PRY,128481
Peru,PER,659669
Philippines,PHL,2235977
Poland,POL,1248815
Portugal,PRT,292141
Puerto Rico,PRI,176663
Qatar,QAT,97166
Romania,ROU,387775
Russia,RUS,5865280
Rwanda,RWA,227789
Saint Lucia,LCA,6146
Saint Vincent and the Grenadines,VCT,3461
Samoa,WSM,6167
Sao Tome and Principe,STP,2969
Saudi Arabia,SAU,1528153
Senegal,SEN,215279
Serbia,SRB,181025
Seychelles,SYC,2625
Sierra Leone,SLE,101689
Singapore,SGP,167028
Slovakia,SVK,154193
Slovenia,SVN,72079
Solomon Islands,SLB,13680
Somalia,SOM,171173
South Africa,ZAF,2107308
South Korea,KOR,1672682
South Sudan,SSD,173244
Spain,ESP,2478865
Sri Lanka,LKA,538174
Sudan,SDN,1648573
Suriname,SUR,13947
Sweden,SWE,228331
Switzerland,CHE,331665
Syria,SYR,1055213
Taiwan,TWN,776485
Tajikistan,TJK,119018
Tanzania,TZA,848454
Thailand,THA,2287021
Togo,TGO,103842
Tonga,TON,3041
Trinidad and Tobago,TTO,37859
Tunisia,TUN,633146
Turkey,TUR,3942041
Turkmenistan,TKM,97169
Uganda,UGA,658056
Ukraine,UKR,1231105
United Arab Emirates,ARE,666867
United Kingdom,GBR,4219142
United States,USA,36155105
Uruguay,URY,124380
Uzbekistan,UZB,487510
Vanuatu,VUT,6054
Venezuela,VEN,675432
Vietnam,VNM,2238195
Zambia,ZMB,247047
Zimbabwe,ZWE,380723
